Jogador,Média de Eliminações,Média de Mortes,Média de Assistências,Média de Dano,Média de Plantações,Média de Desarmamentos,Média de Vitórias,Total de Partidas
dimatefps,5.256410256410256,6.9743589743589745,2.58974358974359,1110.923076923077,2.0256410256410255,0.1282051282051282,0.38461538461538464,39
I__LOTUS__I,6.2105263157894735,7.526315789473684,2.263157894736842,1470.7368421052631,0.8947368421052632,0.15789473684210525,0.47368421052631576,19
Jeff_-SZ,7.818181818181818,4.954545454545454,2.6363636363636362,1234.8636363636363,0.3181818181818182,0.5909090909090909,0.6818181818181818,22
Difurent,6.9375,5.0625,2.5625,1314.6875,0.8125,0.5625,0.5625,16
maYumeSenpai,9.727272727272727,4.2727272727272725,3.0,1863.8181818181818,0.2727272727272727,0.5454545454545454,0.8181818181818182,11
Zit4l0_AKaA_,9.5,7.2,3.9,1887.5,0.0,0.3,0.6,10
Rovenita,5.428571428571429,7.571428571428571,2.7142857142857144,1483.857142857143,2.142857142857143,0.2857142857142857,0.5714285714285714,7
Difurent Feliz,15.5,5.75,4.75,2581.5,0.25,0.25,0.5,4
Marcosfox375,6.571428571428571,7.714285714285714,4.428571428571429,1405.2857142857142,0.8571428571428571,0.42857142857142855,0.2857142857142857,7
Zi1379,2.75,7.25,1.4375,597.5625,0.5625,0.1875,0.5,16
escanor bravo,18.0,8.666666666666666,3.6666666666666665,2938.3333333333335,0.0,0.3333333333333333,0.6666666666666666,3
New ToddynhoRx12,6.25,5.5,2.875,1066.375,1.375,0.125,0.625,8
STORM-APPROACHIN,15.0,9.333333333333334,4.666666666666667,2785.0,0.0,0.3333333333333333,0.6666666666666666,3
Froppado,5.5,8.5,2.6666666666666665,1019.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,6
Shadow_JH37,9.666666666666666,8.0,5.666666666666667,1726.6666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,3
RevengerFox68,6.25,7.25,1.25,1254.75,1.0,1.0,0.25,4
twitch JOYSTIIIK,8.333333333333334,7.333333333333333,6.333333333333333,1655.6666666666667,0.0,0.3333333333333333,0.6666666666666666,3
SOUZAJRO11,9.0,7.666666666666667,7.666666666666667,1630.3333333333333,0.0,0.3333333333333333,0.6666666666666666,3
luizrated,10.666666666666666,9.0,4.333333333333333,1610.3333333333333,0.0,0.6666666666666666,0.6666666666666666,3
Nicollas_M2808,2.875,5.125,2.875,575.25,0.25,0.375,0.5,8
zCesar_Jrz,8.333333333333334,8.333333333333334,4.666666666666667,1499.3333333333333,0.0,0.0,0.6666666666666666,3
zaupgn,4.0,6.0,3.25,1096.25,1.0,0.5,0.75,4
Faze_TR3M1D1NH4,7.0,8.666666666666666,5.0,1333.3333333333333,2.0,0.0,0.3333333333333333,3
Carloncho 2,7.0,6.333333333333333,3.3333333333333335,1164.3333333333333,0.6666666666666666,0.0,0.6666666666666666,3
Rip_Hiroshy4,2.8,6.2,1.0,616.2,0.0,0.0,0.2,5
Rafaelln96,9.0,2.0,4.0,2578.0,1.0,1.0,1.0,1
NerO_X,4.666666666666667,8.333333333333334,4.333333333333333,827.0,2.6666666666666665,0.0,0.6666666666666666,3
SaneAtol16282,1.1818181818181819,5.909090909090909,1.8181818181818181,215.36363636363637,0.09090909090909091,0.09090909090909091,0.09090909090909091,11
Zi1369,3.75,6.5,1.5,589.0,0.0,0.0,0.5,4
nuviuss,12.0,8.0,6.0,2279.0,1.0,1.0,1.0,1
Cusssing,4.5,7.5,4.5,971.5,0.0,0.0,0.5,2
ZAllOOS,14.0,10.0,6.0,1909.0,2.0,0.0,1.0,1
DentedoSiso,13.0,4.0,1.0,1742.0,0.0,0.0,1.0,1
JoãoOrtega,10.0,2.0,4.0,1684.0,1.0,1.0,1.0,1
Thormenttus,1.4,2.4,1.4,320.0,0.0,0.0,0.4,5
Eo_angelo,8.0,5.0,3.0,1171.0,1.0,0.0,1.0,1
elpina1546,4.0,10.0,6.0,949.0,0.0,0.0,1.0,1
LuamZoka,8.0,7.0,1.0,947.0,0.0,0.0,0.0,1
Reboco D Cimento,7.0,8.0,1.0,939.0,1.0,0.0,0.0,1
DEIVAOgamer,4.0,5.0,6.0,933.0,0.0,0.0,1.0,1
Soledy_Andre-_-T,4.0,9.0,3.0,928.0,0.0,0.0,0.0,1
zc_Xardas,2.0,9.0,1.0,770.0,0.0,0.0,0.0,1
MaxDetonade,3.0,8.0,2.0,753.0,0.0,0.0,0.0,1
Pastorplay5765,3.0,7.0,4.0,722.0,0.0,0.0,1.0,1
Romulando_,2.0,6.0,5.0,623.0,0.0,0.0,1.0,1
Black_noiir_,3.0,7.0,0.0,556.0,0.0,0.0,0.0,1
BodePoeta,2.0,7.0,1.0,409.0,0.0,0.0,0.0,1
Jairochaos,0.0,8.0,3.0,392.0,1.0,0.0,0.0,1
Taelgamer007,0.0,8.0,2.0,260.0,0.0,0.0,0.0,1
jmpalaciosv,0.0,8.0,1.0,100.0,0.0,0.0,0.0,1
los_vagos836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
